Store's Types;City;DATE;UnitsSold
Shopping Center stores;ALICANTE;02/03/2019;825
Shopping Center stores;ALICANTE;04/03/2019;291
Shopping Center stores;ALICANTE;05/03/2019;210
Shopping Center stores;ALICANTE;06/03/2019;291
Shopping Center stores;ALICANTE;07/03/2019;234
Shopping Center stores;ALICANTE;08/03/2019;534
Shopping Center stores;ALICANTE;09/03/2019;582
Shopping Center stores;ALICANTE;11/03/2019;195
Shopping Center stores;ALICANTE;12/03/2019;285
Shopping Center stores;ALICANTE;13/03/2019;210
Shopping Center stores;ALICANTE;14/03/2019;219
Shopping Center stores;ALICANTE;15/03/2019;291
Shopping Center stores;ALICANTE;16/03/2019;519
Shopping Center stores;ALICANTE;18/03/2019;477
Shopping Center stores;ALICANTE;20/03/2019;204
Shopping Center stores;ALICANTE;21/03/2019;147
Shopping Center stores;ALICANTE;22/03/2019;195
Shopping Center stores;ALICANTE;23/03/2019;348
Shopping Center stores;ALICANTE;25/03/2019;300
Shopping Center stores;ALICANTE;26/03/2019;123
Shopping Center stores;ALICANTE;27/03/2019;138
Shopping Center stores;ALICANTE;28/03/2019;195
Shopping Center stores;ALICANTE;29/03/2019;414
Shopping Center stores;ALICANTE;30/03/2019;462
Shopping Center stores;ALICANTE;01/04/2019;267
Shopping Center stores;ALICANTE;02/04/2019;252
Shopping Center stores;ALICANTE;03/04/2019;228
Shopping Center stores;ALICANTE;04/04/2019;462
Shopping Center stores;ALICANTE;05/04/2019;519
Shopping Center stores;ALICANTE;06/04/2019;558
Shopping Center stores;ALICANTE;08/04/2019;162
Shopping Center stores;ALICANTE;09/04/2019;252
Shopping Center stores;ALICANTE;10/04/2019;372
Shopping Center stores;ALICANTE;11/04/2019;186
Shopping Center stores;ALICANTE;12/04/2019;348
Shopping Center stores;ALICANTE;13/04/2019;714
Shopping Center stores;ALICANTE;14/04/2019;81
Shopping Center stores;ALICANTE;15/04/2019;276
Shopping Center stores;ALICANTE;16/04/2019;324
Shopping Center stores;ALICANTE;17/04/2019;381
Shopping Center stores;ALICANTE;18/04/2019;477
Shopping Center stores;ALICANTE;19/04/2019;501
Shopping Center stores;ALICANTE;20/04/2019;867
Shopping Center stores;ALICANTE;21/04/2019;309
Shopping Center stores;ALMERIA;01/03/2019;729
Shopping Center stores;ALMERIA;02/03/2019;219
Shopping Center stores;ALMERIA;04/03/2019;114
